LANGUAGE,"English","Local"


STR_DN_BODY,"Body","Body"
STR_DN_BARREL,"Barrel","Barrel"
STR_DN_BARRELS,"Barrels","Barrels"
STR_DN_BARREL_RED,"Barrel (red)","Barrel (red)"
STR_DN_BARREL_BROWN,"Barrel (brown)","Barrel (brown)"
STR_DN_BARREL_WHITE,"Barrel (white)","Barrel (white)"
STR_DN_BARREL_YELLOW,"Barrel (yellow)","Barrel (yellow)"
STR_DN_BARREL_BLACK,"Barrel (black)","Barrel (black)"
STR_DN_BARREL_GREEN,"Barrel (green)","Barrel (green)"
STR_DN_BARREL_PURPLE,"Barrel (purple)","Barrel (purple)"
STR_DN_FIRE,"Fire","Fire"
STR_DN_FIRE_LIT,"Fire (Lit)","Fire (Lit)"
STR_DN_FLAG_WEST,"Flag (US)","Flag (US)"
STR_DN_FLAG_EAST,"Flag (USSR)","Flag (USSR)"
STR_DN_FLAG_SOUTH,"Flag (RACS)","Flag (RACS)"
STR_DN_FLAG_NORTH,"Flag (SLA)","Flag (SLA)"
STR_DN_DATSUN01_WRECK,"Datsun Wreck 1","Datsun Wreck 1"
STR_DN_DATSUN02_WRECK,"Datsun Wreck 2","Datsun Wreck 2"
STR_DN_HILUX_WRECK,"Hilux Wreck","Hilux Wreck"
STR_DN_JEEP_WRECK_1,"Jeep Wreck 1","Jeep Wreck 1"
STR_DN_JEEP_WRECK_2,"Jeep Wreck 2","Jeep Wreck 2"
STR_DN_JEEP_WRECK_3,"Jeep Wreck 3","Jeep Wreck 3"
STR_DN_M113_WRECK,"M113 Wreck","M113 Wreck"
STR_DN_URAL_WRECK,"Ural Wreck","Ural Wreck"
STR_DN_OUT_RADIO,"Radio (RT-254)","Radio (RT-254)"
STR_DN_OUT_BLACK,"Black cube","Black cube"
STR_DN_PALLET,"Pallet","Pallet"
STR_DN_PALLET_A,"Pallet A","Pallet A"
STR_DN_PALLETS_C,"Pallets","Pallets"
STR_DN_RADIO,"Radio","Radio"
STR_DN_TARGET,"Target","Target"
STR_DN_ARMORED_TARGET,"Armored Target","Armored Target"
STR_DN_TARGET_EAST,"Target E","Target E"
STR_DN_POPUP_TARGET_EAST,"Pop-Up Target E","Pop-Up Target E"
STR_DN_OUT_WALLMAP,"Map (Nogovo)","Map (Nogovo)"
STR_DN_FENCE_WIRE,"Fence barbedwire","Fence barbedwire"
STR_DN_HELI_H,"H","H"
STR_DN_HELI_H_EMPTY,"H (Invisible)","H (Invisible)"
STR_DN_HELI_H_CIVIL,"H (Civilian)","H (Civilian)"
STR_DN_HELI_H_RESCUE,"H (Rescue)","H (Rescue)"
STR_DN_CRAWLING,"Crawling training","Crawling training"
STR_DN_TRAINING_2,"Training 2","Training 2"
STR_DN_TRAINING_3,"Training 3","Training 3"
STR_DN_TRAINING_4,"Training 4","Training 4"
STR_DN_CAROUSEL,"Carousel","Carousel"
STR_DN_CAROUSEL_SMALL,"Carousel small","Carousel small"
STR_DN_SWING,"Swing","Swing"
STR_DN_PROLEZACKA,"Prolezacka","Prolezacka"
STR_DN_SANDPIT,"Sandpit","Sandpit"
STR_DN_DANGER,"Danger!","Danger!"
STR_XBOX_DANGER_WEST,"Danger West","Danger West"
STR_XBOX_DANGER_EAST,"Danger East","Danger East"
STR_XBOX_DANGER_GUER,"Danger Guerilla","Danger Guerilla"
STR_DN_CLUTTERCUTTER,"Clutter cutter","Clutter cutter"
